name,ra,dec,gaia mag,gaia bprp,gaia_abs_g,priority Jan,観測日,備考,天気,観測日2,備考2,天気2,観測日3,備考2,天気3
Test,10,0,15,0.1,10,,2022/01/01 25mins,,後半くもかかった,,,,,,
WD_triccs2,284.106222,48.662333,16.985834,-0.496443,10.510375,,,,,,,,,,
WD_triccs4,277.232178,34.995206,16.192749,-0.459486,11.101786,,,,,,,,,,
WD_triccs6,272.139029,46.368996,16.837872,-0.486286,11.569012,,,,,,,,,,
WD_triccs8,268.853811,27.807834,15.877528,-0.41432,10.795736,,,,,,,,,,
WD_triccs11,254.951571,44.018227,14.789173,-0.414514,12.287067,,,,,,,,,,
WD_triccs12,242.596722,63.014615,16.716009,-0.426579,10.998903,,2022/1/11 30mins,,快晴?,,,,,,
WD_triccs18,109.568236,37.527406,16.95426,-0.413265,12.317233,,2022/1/11 30mins,,快晴 湿度高い,2022/1/13 30mins,,,,,
WD_triccs19,106.335992,-20.778728,16.503208,-0.427002,11.587948,,,,,,,,,,
WD_triccs22,80.329104,-10.488439,15.745313,-0.441854,11.117552,,2022/1/12 30mins,,雲がかかりぎみだったので、再戦?,2022/1/13 30mins,,,,,
WD_triccs23,70.779907,-3.78057,16.661604,-0.499784,10.447508,,2022/1/12 30mins?,,雲がかかりぎみだったので、再戦?,2022/1/13 30mins,a,途中数分雲が横切った,,,
WD_triccs24,58.667249,5.146119,16.287859,-0.462852,11.04765,,2022/1/12 30mins,,快晴 ,2022/1/13 30mins,,,,,
WD_triccs25,57.209484,-0.97636,14.022511,-0.482519,11.56293,,2022/1/12 30mins,,快晴 ,2022/1/13 30mins,,14-16分くらいに雲が出た,,,
WD_triccs26,39.951626,50.063409,15.721684,-0.451274,10.598052,,2022/1/11 30mins,,13-4分くらいにくもが出始めた,2022/1/13 30mins,,,2022/1/14 30mins,,
WD_triccs27,39.358339,-12.359621,14.968821,-0.438942,10.719668,,2022/1/13 30mins,,,,,,,,
WD_triccs28,34.004897,35.688191,15.633039,-0.452559,10.931617,,2022/1/11 30mins,,"快晴だけど風が強い、シーング3""",,,,,,
WD_triccs29,24.721,25.389395,15.915779,-0.47868633,11.370536,,2022/1/11 30mins,,"快晴だけど風が強い、シーング3""",,,,,,
WD_triccs30,19.54309,-1.936774,16.686306,-0.499969,11.682617,,2022/1/12 30mins,やりなおし?,西からの雲で隠れそうになっている@10分、その後完全に隠れてしまった,,,,,,
WD_triccs31,0.995164,43.600455,16.712538,-0.484432,11.192188,,2022/1/12 30mins,,快晴 ,,,,,,
WD_new0,358.13584,-2.88533,16.97723,0.124475,14.592389,,2022/1/12 30mins,,快晴 ,2022/1/14 30mins,,,,,
WD_new7,262.233414,55.973972,16.142376,-0.192667,12.778266,,,,,,,,,,
WD_new11,237.229557,24.85361,16.803057,-0.269545,12.471775,,,,,,,,,,
WD_new13,229.955189,63.498453,16.637856,-0.272066,12.917153,,2022/1/11 30mins,,快晴?,2022/1/13 30mins,,15分くらいで止まった,,,
WD_new14,224.761003,-4.199512,16.680233,-0.214046,12.767958,,,,,,,,,,
WD_new15,183.534329,-17.411885,16.702244,-0.353777,11.913086,,2022/1/11 30mins,,なかなか暗くて厳しい/,,,,,,
WD_new16,153.585892,-4.289243,16.35103,-0.326424,12.112919,,2022/1/11 30+15mins,やりなおし?,最初の30分雲がすごい出てきた、再戦?,,,,,,
WD_new21,130.562266,-2.374071,16.001976,-0.316387,12.066125,,2022/1/11 30mins,,快晴 湿度高い,,,,,,
WD_new22,91.982294,34.257278,16.683722,-0.274519,12.336831,,2022/1/11 30mins,,快晴 湿度高い,,,,,,
WD_new24,82.462061,52.662396,15.66308,-0.274487,12.701014,,2022/1/11 30mins,やりなおし?,最後の方雲がかかった,,,,,,
WD_new25,76.790287,26.754002,16.226711,-0.282719,12.577091,,2022/1/11 30mins,やりなおし?,後半雲がかかっていた? 再戦?,,,,,,
WD_new27,44.115638,-15.259288,16.928497,-0.320614,12.305371,,2022/1/13 30mins,,快晴,,,,,,
WD_new28,42.254393,-18.52126,16.298752,-0.261801,12.545824,,2022/1/13 30mins,,快晴,,,,,,
WD_new29,16.938681,29.072303,16.751705,-0.210852,12.904785,,2022/1/12 30mins,,?,,,,,,
WD_new30,12.690829,-3.448821,16.79269,-0.337383,12.291182,,2022/1/12 30mins,,快晴,,,,,,
WD_new31,7.496322,36.809482,16.427374,-0.351721,12.580932,,,,,,,,,,
